,rownum,sno,CUI1,CUI2,lesk,vector
440,440,20,C2249710,C3249783,7,0
441,441,21,C1846386,C2706784,20,0.0174
442,442,22,C0238332,C3545936,10,0.2929
443,443,23,C0644079,C3843276,13,0.0122
444,444,24,C3010195,C3325272,0,0.0816
445,445,25,C1537436,C1838904,45,0.1709
446,446,26,C1957537,C2520980,10,0.0212
447,447,27,C1196627,C1238495,8,0
448,448,28,C2517326,C3600294,7,0.059
449,449,29,C0752900,C2656279,9,0.0226
450,450,30,C0927986,C1531294,9,0.2371
451,451,31,C1223795,C3775432,5,0.0418
452,452,32,C2946231,C2992019,22,0.0239
453,453,33,C1152372,C3895870,10,0.0754
454,454,34,C0591364,C0802084,69,0.3781
455,455,35,C1592736,C1639569,4,0
456,456,36,C2445821,C3111908,7,0.0792
457,457,37,C2421432,C4006419,1,0
458,458,38,C1896842,C2476144,6,0.0511
459,459,39,C1936974,C1986173,1,0
460,460,40,C1649155,C2700069,25,0.1685
461,461,41,C1744318,C2821489,20,0.7713
462,462,42,C0965782,C3711187,128,0.09
463,463,43,C2313593,C3800268,4225,0.9995
464,464,44,C1921338,C3604801,4225,0.9995
465,465,45,C0679597,C3161296,45,0.6186
466,466,46,C2752640,C3971475,16,0.1023
467,467,47,C0833532,C1744537,2117,0.6042
468,468,48,C0682365,C3135592,17,0.0492
469,469,49,C2336925,C2626918,12,0.7499
470,470,50,C1179375,C3071721,9,0.0499
471,471,51,C0223246,C2635825,4,0
472,472,52,C1636017,C2440357,5,0.0459
473,473,53,C2344016,C2542469,8,0.4669
474,474,54,C1212361,C3979531,36,0.9927
475,475,55,C1215629,C2513104,8,0.0427
476,476,56,C0735653,C1975627,7,0.0378
477,477,57,C2923329,C3908339,27,0.1018
478,478,58,C0050645,C2513959,11,0.0767
479,479,59,C0023440,C3631654,91,0.1741
480,480,60,C0929021,C1855282,26,0.0943
481,481,61,C1556388,C2536725,18,0.3271
482,482,62,C1068006,C2482546,5,0.0476
483,483,63,C0183257,C0732378,4,0.0271
484,484,64,C0045829,C2734970,150,0.3671
485,485,65,C1843372,C3995378,20,0.0662
486,486,66,C3330455,C3570876,4225,0.9995
487,487,67,C0215568,C1356376,13,0.0349
488,488,68,C0481991,C2372265,18,0.1367
489,489,69,C0026703,C3766937,22,0.213
490,490,0,C1209733,C3055369,7,0.018
491,491,1,C2287990,C3384263,9,0.0161
492,492,2,C0878716,C3545280,8,0.1476
493,493,3,C0245012,C2675085,26,0.3395
494,494,4,C0722058,C3484793,30,0.0712
495,495,5,C3437644,C3968534,4225,0.9995
496,496,6,C0834929,C1703176,21,0.0185
497,497,7,C3447370,C3773290,44,0.3226
498,498,8,C2996018,C3666191,27,0.1422
