,CUI1,CUI2,vector
471,C2285584,C1883341,0.3178
472,C1308752,C0038623,0.4750
473,C0803153,C1957465,0.1739
474,C1416672,C3847197,0.1441
475,C0367879,C3260046,0.3623
476,C3173555,C2691451,0.1074
477,C1159090,C1953319,0.1504
478,C1700249,C1023058,0.0000
479,C3146965,C0812285,0.7386
480,C1953924,C1706627,0.1578
481,C0244342,C0282596,0.1786
482,C2632939,C0206417,0.4746
483,C3437407,C0002492,0.0180
484,C2282530,C3785448,0.9894
485,C2405494,C1460706,0.0546
486,C0962632,C3556850,0.1117
487,C0486599,C1412614,0.0293
488,C2350462,C1171591,0.2181
489,C3012296,C4016743,0.1103
490,C1147847,C2920930,0.2675
491,C0751273,C1550399,0.1165
492,C0941946,C2577796,0.2157
493,C2620534,C4042838,0.0044
494,C0345575,C1018050,0.0397
495,C1000910,C2556214,0.0609
496,C3398400,C1333011,0.3251
497,C0812235,C1830783,0.3300
498,C3428798,C1954855,0.1079
499,C3810185,C1523344,0.1740
500,C4012036,C0796958,0.2568
501,C3089349,C1857775,0.1417
502,C0614503,C1518683,0.1350
503,C3607218,C0931581,0.0374
504,C0106172,C3737844,0.1066
505,C0013371,C3538766,0.1395
506,C1649709,C0927245,0.7297
507,C1257005,C0770050,0.0684
508,C0714030,C0032708,0.4255
509,C3122795,C3104180,0.0739
510,C1825228,C3626451,0.0440
511,C0037688,C0032337,0.1834
512,C3077846,C0923870,0.0984
513,C0014758,C2619519,0.2117
514,C0154984,C1415166,0.0853
515,C1171655,C3223131,0.0619
516,C0075949,C0906686,0.1142
517,C0727533,C2717782,0.1200
518,C3641077,C0797175,0.1434
519,C1685090,C0039771,0.2160
520,C1038863,C1096763,0.1309
521,C0804229,C0365981,0.2040
522,C3749408,C1822874,0.1853
523,C3824172,C1477142,0.0878
524,C0060377,C0027853,0.3497
525,C0023449,C0432922,0.3301
526,C2722925,C3321193,0.0462
527,C0928341,C1316826,0.1908
528,C2479777,C4007186,0.0750
529,C0230339,C2783702,0.1883
530,C0881615,C0609537,0.2233
531,C1953002,C2495930,0.1196
532,C0366543,C1425573,0.0513
533,C0448139,C2935338,0.0281
534,C0362906,C1364157,0.0174
535,C0205030,C1172597,0.0412
536,C2997349,C0243123,0.2491
537,C0797663,C3364696,0.1043
538,C2345635,C3000406,0.0233
539,C1316937,C1525003,0.1311
540,C2754543,C3847039,0.1316
541,C2277808,C3894435,0.0315
542,C0067987,C1324171,0.0003
543,C0678454,C1323261,0.5467
544,C2598406,C0337283,0.2660
545,C3001187,C3808626,0.1298
546,C3977625,C0503854,0.0726
547,C3802390,C3655147,0.6557
548,C3027696,C0029260,0.4298
549,C3328742,C0386457,0.3119
550,C1606812,C0677472,0.0000
551,C3897457,C3317042,0.0212
552,C0030829,C3622807,0.9700
553,C3537245,C0065162,0.1727
554,C1521099,C2748987,0.1405
555,C0485589,C0484969,0.1122
556,C3740581,C0822025,0.6711
557,C3819027,C0944144,0.1118
558,C1429778,C1978610,0.4994
559,C1563909,C0797288,0.0392
560,C1158141,C0599367,0.1168
561,C1642214,C3543565,0.0360
562,C3408079,C3231742,0.0000
563,C1852320,C1114447,0.1062
564,C3699391,C2953023,0.1170
565,C1147599,C0497111,0.0571
566,C3262770,C1433877,0.0088
567,C2598656,C3388996,0.1404
568,C0798856,C0025513,0.1346
